Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
secondary alcohol biosynthetic process (GO:1902653)	8/34	1.1078268507953944E-4	0.1931836741166499	0	0	6.518290598290598	59.36820011313606	EBP;HMGCS1;INSIG1;CYP51A1;MSMO1;HMGCR;HSD17B7;FDFT1
cholesterol biosynthetic process (GO:0006695)	8/35	1.3793907469950012E-4	0.1931836741166499	0	0	6.276543209876543	55.79029995105082	EBP;HMGCS1;INSIG1;CYP51A1;MSMO1;HMGCR;HSD17B7;FDFT1
sterol biosynthetic process (GO:0016126)	8/38	2.5403528368683753E-4	0.19655398977794913	0	0	5.648	46.75435516991044	EBP;HMGCS1;INSIG1;CYP51A1;MSMO1;HMGCR;HSD17B7;FDFT1
activation of GTPase activity (GO:0090630)	14/105	2.8069116712309765E-4	0.19655398977794913	0	0	3.269833075202203	26.741530470035077	TBC1D3B;TBC1D3E;TBC1D3F;TBC1D3C;TBC1D3I;TBC1D3G;TBC1D3H;SYDE2;BCR;ARHGAP22;TBC1D3K;TBC1D3;TBC1D3L;ARHGEF5
regulation of astrocyte differentiation (GO:0048710)	4/12	0.0015588185472815944	0.7854054216040444	0	0	10.555309734513274	68.22769696448911	SERPINE2;BIN1;NOG;HES1
valine metabolic process (GO:0006573)	3/6	0.001682410756738403	0.7854054216040444	0	0	21.09281767955801	134.73095382246856	HIBADH;BCAT1;HIBCH
positive regulation of CD4-positive, alpha-beta T cell activation (GO:2000516)	4/13	0.0021712168123318473	0.8627677377912523	0	0	9.382005899705014	57.53484650471578	TNFSF4;PRKCQ;HLA-DRB3;HLA-DRB1
cholesterol metabolic process (GO:0008203)	10/77	0.0024641706184684105	0.8627677377912523	0	0	3.1620848984476284	18.991165663759855	EBP;HMGCS1;ABCA5;INSIG1;CYP51A1;MSMO1;HMGCR;HSD17B7;ABCG1;FDFT1
sequestering of extracellular ligand from receptor (GO:0035581)	4/14	0.0029313277507113955	0.9078678020555402	0	0	8.443362831858407	49.24422336704561	NOG;CHRDL1;FSTL1;FBN1
regulation of interleukin-4 production (GO:0032673)	5/23	0.0032412274261176014	0.9078678020555402	0	0	5.867478774455519	33.63123353142993	TNFSF4;PRKCQ;GATA3;PRKCZ;HLA-DRB1
sequestering of BMP from receptor via BMP binding (GO:0038098)	3/8	0.004398925554547128	0.95921430661022	0	0	12.654364640883978	68.66758050962478	NOG;CHRDL1;FSTL1
positive regulation of astrocyte differentiation (GO:0048711)	3/8	0.004398925554547128	0.95921430661022	0	0	12.654364640883978	68.66758050962478	SERPINE2;BIN1;HES1
regulation of Wnt signaling pathway, planar cell polarity pathway (GO:2000095)	3/9	0.006377052987704179	0.95921430661022	0	0	10.54475138121547	53.30423706010649	NPHP3;MLLT3;DACT1
negative regulation of glial cell differentiation (GO:0045686)	3/9	0.006377052987704179	0.95921430661022	0	0	10.54475138121547	53.30423706010649	TMEM98;NOG;HES1
positive regulation of interleukin-4 production (GO:0032753)	4/18	0.007754478953653759	0.95921430661022	0	0	6.029709228824273	29.301279580420356	TNFSF4;PRKCQ;GATA3;PRKCZ
negative regulation of cholesterol storage (GO:0010887)	3/10	0.00880522628412189	0.95921430661022	0	0	9.037884767166535	42.77097478559682	NR1H3;ABCG1;TTC39B
glycolipid biosynthetic process (GO:0009247)	6/40	0.008826448875566792	0.95921430661022	0	0	3.7285770183905047	17.636178659832186	ST8SIA6;PIGM;B4GALT6;PIGG;ST6GALNAC5;PIGH
positive regulation of GTPase activity (GO:0043547)	18/214	0.008961374937463606	0.95921430661022	0	0	1.9498280210960788	9.193110789733197	TBC1D3B;TBC1D3E;TBC1D3F;TBC1D3C;TBC1D3I;TBC1D3G;TBC1D3H;BCR;SYDE2;ARHGAP22;TBC1D3K;TBC1D3L;TBC1D3;ALS2;F2RL1;GNB5;ARHGEF5;RAPGEF3
positive regulation of interleukin-13 production (GO:0032736)	3/11	0.011703033571849287	0.95921430661022	0	0	7.9077348066298345	35.17287051203966	TNFSF4;GATA3;PRKCZ
phospholipid translocation (GO:0045332)	5/31	0.012136715679445357	0.95921430661022	0	0	4.060396967373712	17.91252270182218	ABCC1;ABCB1;ATP8B2;PLSCR4;ATP9A
negative regulation of cell motility (GO:2000146)	11/114	0.014576295150505729	0.95921430661022	0	0	2.260815447392062	9.559538642551582	BST2;DACH1;LIMCH1;DPYSL3;TPM1;NOG;SPOCK3;TP53INP1;SPINT2;GATA3;SCAI
regulation of cholesterol esterification (GO:0010872)	3/12	0.015084447806527396	0.95921430661022	0	0	7.028729281767956	29.479130310016917	ABCA2;STARD4;ABCG1
regulation of ventricular cardiac muscle cell action potential (GO:0098911)	3/12	0.015084447806527396	0.95921430661022	0	0	7.028729281767956	29.479130310016917	BIN1;PKP2;DSG2
phosphate ion transmembrane transport (GO:0035435)	3/12	0.015084447806527396	0.95921430661022	0	0	7.028729281767956	29.479130310016917	SLC37A1;SLC25A30;SLC37A3
positive regulation of signal transduction by p53 class mediator (GO:1901798)	4/22	0.01605781756976028	0.95921430661022	0	0	4.688790560471976	19.37201705230278	SPRED1;RPS7;RPL23;PLA2R1
positive regulation of response to stimulus (GO:0048584)	6/46	0.017138710122248744	0.95921430661022	0	0	3.1682926829268294	12.883594867435091	ARG2;DDX58;TAF9;HMGA2;LRRC70;GATA3
regulation of SMAD protein signal transduction (GO:0060390)	4/23	0.018756052590504887	0.95921430661022	0	0	4.441779226828133	17.661574786502477	SMAD4;RBPMS;SLC2A10;BMP6
regulation of steroid metabolic process (GO:0019218)	4/23	0.018756052590504887	0.95921430661022	0	0	4.441779226828133	17.661574786502477	ABCA2;EPHX2;ABCG1;TTC39B
adenosine 5'-(hexahydrogen pentaphosphate) catabolic process (GO:1901911)	2/5	0.01878669674433127	0.95921430661022	0	0	14.04635761589404	55.82874118577744	NUDT11;NUDT10
adenosine 5'-(hexahydrogen pentaphosphate) metabolic process (GO:1901910)	2/5	0.01878669674433127	0.95921430661022	0	0	14.04635761589404	55.82874118577744	NUDT11;NUDT10
