Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
integral component of lumenal side of endoplasmic reticulum membrane (GO:0071556)	7/28	1.9888530726384904E-4	0.02834115628509849	0	0	7.055493895671476	60.132438102312584	HLA-DRB5;HLA-DRB4;SPPL2B;PKD2;HLA-DRB3;HLA-DRB1;HLA-DQB1
lumenal side of endoplasmic reticulum membrane (GO:0098553)	7/28	1.9888530726384904E-4	0.02834115628509849	0	0	7.055493895671476	60.132438102312584	HLA-DRB5;HLA-DRB4;SPPL2B;PKD2;HLA-DRB3;HLA-DRB1;HLA-DQB1
MHC class II protein complex (GO:0042613)	4/13	0.0021712168123318473	0.20626559717152548	0	0	9.382005899705014	57.53484650471578	HLA-DRB5;HLA-DRB3;HLA-DRB1;HLA-DQB1
late endosome membrane (GO:0031902)	9/68	0.0035058578545418585	0.24979237213610742	0	0	3.2295205595671272	18.25751328862586	LAPTM4B;HLA-DRB5;IFITM2;MREG;HLA-DRB4;TMEM9;HLA-DRB3;HLA-DRB1;BAIAP3
integral component of endoplasmic reticulum membrane (GO:0030176)	14/142	0.005258260491817738	0.2997208480336111	0	0	2.320120246085011	12.175886673664294	HACD1;HLA-DRB5;HLA-DRB4;SLC37A1;CAMLG;SPPL2B;ELOVL7;PKD2;SCD;HLA-DRB3;PIGG;SLC37A3;HLA-DRB1;HLA-DQB1
MHC protein complex (GO:0042611)	4/20	0.011425877594605487	0.5427291857437606	0	0	5.275442477876106	23.59111685983871	HLA-DRB5;HLA-DRB3;HLA-DRB1;HLA-DQB1
transport vesicle membrane (GO:0030658)	7/60	0.018520015588662512	0.598987043248235	0	0	2.7908822482357127	11.13255915326054	HLA-DRB5;HLA-DRB4;RASSF9;HLA-DRB3;SLC18A2;HLA-DRB1;HLA-DQB1
apicolateral plasma membrane (GO:0016327)	2/5	0.01878669674433127	0.598987043248235	0	0	14.04635761589404	55.82874118577744	NEDD4;MPDZ
multivesicular body (GO:0005771)	6/47	0.018915380313102158	0.598987043248235	0	0	3.090855010545671	12.263832430001486	BST2;CRHBP;LAPTM4B;CHMP4C;TMEM9;TPT1
trans-Golgi network (GO:0005802)	18/239	0.02499498996837964	0.6492979966209225	0	0	1.7269713762773908	6.3709353497234344	HLA-DRB5;HLA-DRB4;MME;ATP8B2;CBY1;DPY30;ATP2C1;BICD1;BAIAP3;NBEA;SLC9A7;RAB13;RAB38;HLA-DRB3;HLA-DRB1;ATP9A;CALN1;HLA-DQB1
late endosome (GO:0005770)	15/189	0.02570046154456346	0.6492979966209225	0	0	1.8262733135112175	6.686436463583103	HLA-DRB5;IFITM2;MREG;HLA-DRB4;ABCA5;SLC30A4;BAIAP3;BST2;CRHBP;LAPTM4B;CHMP4C;TMEM9;HLA-DRB3;HLA-DRB1;TPT1
integral component of cytoplasmic side of endoplasmic reticulum membrane (GO:0071458)	2/6	0.027338863015617786	0.6492979966209225	0	0	10.534216335540838	37.91734322498258	SPPL2B;PKD2
U1 snRNP (GO:0005685)	3/18	0.04574497591505899	0.8654014412171968	0	0	4.215911602209944	13.004709993937581	SNRPD2;LUC7L3;SNRPE
ciliary membrane (GO:0060170)	4/31	0.05019669017969218	0.8654014412171968	0	0	3.124385447394297	9.34755571250432	SMO;TCTN2;TMEM67;SHANK3
intercalated disc (GO:0014704)	4/31	0.05019669017969218	0.8654014412171968	0	0	3.124385447394297	9.34755571250432	TMEM65;PKP2;PGM5;DSG2
clathrin-coated vesicle membrane (GO:0030665)	8/90	0.051747152062951045	0.8654014412171968	0	0	2.0607046070460706	6.102541528116887	HLA-DRB5;HLA-DRB4;RASSF9;AVP;HLA-DRB3;SLC18A2;HLA-DRB1;HLA-DQB1
supramolecular fiber (GO:0099512)	3/19	0.052545588244223077	0.8654014412171968	0	0	3.9522099447513814	11.643503508830923	ELN;LTBP4;FBN1
multivesicular body membrane (GO:0032585)	2/9	0.05995523478251794	0.8654014412171968	0	0	6.018606117943866	16.937303031660345	LAPTM4B;TMEM9
U4 snRNP (GO:0005687)	2/9	0.05995523478251794	0.8654014412171968	0	0	6.018606117943866	16.937303031660345	SNRPD2;SNRPE
cell-cell contact zone (GO:0044291)	5/47	0.0608609883375539	0.8654014412171968	0	0	2.511469704160734	7.030012808102587	TMEM65;PKP2;PGM5;DSG2;JAM2
integral component of organelle membrane (GO:0031301)	15/214	0.0638750486394361	0.8654014412171968	0	0	1.5947317775889527	4.386830384715387	HACD1;SLC37A1;CAMLG;TVP23A;ELOVL7;CASD1;TVP23C;ATP2C1;TMEM163;ZDHHC15;SLC22A17;SCD;PIGG;SLC37A3;SLC25A4
trans-Golgi network membrane (GO:0032588)	8/99	0.08084521264800151	0.8654014412171968	0	0	1.856019536019536	4.6682954296421455	HLA-DRB5;HLA-DRB4;HLA-DRB3;HLA-DRB1;ATP9A;CALN1;HLA-DQB1;BAIAP3
sarcolemma (GO:0042383)	5/52	0.08606334228531076	0.8654014412171968	0	0	2.243703023020193	5.503066942854199	SLC8A3;SSPN;PGM5;SGCZ;RYR3
cell cortex region (GO:0099738)	2/11	0.08630715111831913	0.8654014412171968	0	0	4.680647534952171	11.466850760412164	GPSM2;GNAI1
microfibril (GO:0001527)	2/11	0.08630715111831913	0.8654014412171968	0	0	4.680647534952171	11.466850760412164	LTBP4;FBN1
tight junction (GO:0070160)	7/85	0.09122632964760456	0.8654014412171968	0	0	1.8938785964313156	4.534725109999124	PATJ;PARD6B;CLDN15;DDX58;RAB13;LSR;JAM2
clathrin-coated endocytic vesicle membrane (GO:0030669)	6/69	0.09272560863824485	0.8654014412171968	0	0	2.0091859360152045	4.778066355175366	HLA-DRB5;HLA-DRB4;AVP;HLA-DRB3;HLA-DRB1;HLA-DQB1
ER to Golgi transport vesicle membrane (GO:0012507)	5/54	0.09746003714040659	0.8654014412171968	0	0	2.151897303772007	5.010290166811617	HLA-DRB5;HLA-DRB4;HLA-DRB3;HLA-DRB1;HLA-DQB1
chitosome (GO:0045009)	2/12	0.10055170529114292	0.8654014412171968	0	0	4.212362030905077	9.676146067300548	MREG;RAB38
melanosome membrane (GO:0033162)	2/12	0.10055170529114292	0.8654014412171968	0	0	4.212362030905077	9.676146067300548	MREG;RAB38
pigment granule membrane (GO:0090741)	2/12	0.10055170529114292	0.8654014412171968	0	0	4.212362030905077	9.676146067300548	MREG;RAB38
Golgi cis cisterna (GO:0000137)	3/25	0.10235985873989556	0.8654014412171968	0	0	2.8734304369663484	6.549296918949154	GOLGA8B;ATL1;GOLGA8A
coated vesicle membrane (GO:0030662)	5/55	0.10343006545487843	0.8654014412171968	0	0	2.10874861572536	4.784454521269968	HLA-DRB5;HLA-DRB4;HLA-DRB3;HLA-DRB1;HLA-DQB1
integral component of Golgi membrane (GO:0030173)	5/55	0.10343006545487843	0.8654014412171968	0	0	2.10874861572536	4.784454521269968	TVP23A;CASD1;ATP2C1;TVP23C;ZDHHC15
Golgi cisterna membrane (GO:0032580)	3/26	0.11199920051694927	0.8654014412171968	0	0	2.748354552005765	6.01687243206308	GOLGA8B;ATP2C1;GOLGA8A
exocytic vesicle membrane (GO:0099501)	4/41	0.1140763273980282	0.8654014412171968	0	0	2.2787610619469025	4.9469339414400135	SYPL1;SV2A;ICA1;SLC18A2
synaptic vesicle membrane (GO:0030672)	4/41	0.1140763273980282	0.8654014412171968	0	0	2.2787610619469025	4.9469339414400135	SYPL1;SV2A;ICA1;SLC18A2
cytoplasmic side of endoplasmic reticulum membrane (GO:0098554)	2/13	0.11538685882895956	0.8654014412171968	0	0	3.829219345775637	8.269064413027971	SPPL2B;PKD2
cilium (GO:0005929)	15/237	0.12260342804501481	0.887903538812487	0	0	1.427771556550952	2.996607363589849	IFT172;DYNLL1;PKD2;TXNDC15;CFAP126;MLF1;IFT88;SMO;IFT81;TCTN2;TMEM67;BBS9;NPHP3;PROM1;SHANK3
intrinsic component of Golgi membrane (GO:0031228)	5/60	0.13585491500587712	0.887903538812487	0	0	1.9165408235175676	3.8257370105087523	TVP23A;CASD1;ATP2C1;TVP23C;ZDHHC15
secretory vesicle (GO:0099503)	3/29	0.14281611020883916	0.887903538812487	0	0	2.430854228644284	4.7309222253916525	DPYSL3;BICD1;SYTL4
trans-Golgi network transport vesicle (GO:0030140)	2/15	0.14650388165172562	0.887903538812487	0	0	3.239769060961114	6.222635304683004	RAB13;RASSF9
COPII-coated ER to Golgi transport vesicle (GO:0030134)	6/79	0.149083547733305	0.887903538812487	0	0	1.7330437687938522	3.2984127924621647	HLA-DRB5;HLA-DRB4;TMED3;HLA-DRB3;HLA-DRB1;HLA-DQB1
