Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GTPase regulator activity (GO:0030695)	21/233	0.002238508616675822	0.8646480560128836	0	0	2.1084427048988537	12.865602329646414	GPSM2;TBC1D3B;TBC1D3E;RHOH;TBC1D3F;TBC1D3C;TBC1D3I;TBC1D3G;TBC1D3H;PREX2;BCR;SYDE2;ARHGAP22;TBC1D3K;TBC1D3L;TBC1D3;ALS2;ALDH1A1;SH3BP4;GNB5;DOCK1
MHC class II receptor activity (GO:0032395)	3/10	0.00880522628412189	0.8646480560128836	0	0	9.037884767166535	42.77097478559682	HLA-DRB3;HLA-DRB1;HLA-DQB1
C2H2 zinc finger domain binding (GO:0070742)	3/12	0.015084447806527396	0.8646480560128836	0	0	7.028729281767956	29.479130310016917	TAF9;HMGA2;GATA2
bis(5'-adenosyl)-hexaphosphatase activity (GO:0034431)	2/5	0.01878669674433127	0.8646480560128836	0	0	14.04635761589404	55.82874118577744	NUDT11;NUDT10
bis(5'-adenosyl)-pentaphosphatase activity (GO:0034432)	2/5	0.01878669674433127	0.8646480560128836	0	0	14.04635761589404	55.82874118577744	NUDT11;NUDT10
cell adhesive protein binding involved in bundle of His cell-Purkinje myocyte communication (GO:0086083)	2/5	0.01878669674433127	0.8646480560128836	0	0	14.04635761589404	55.82874118577744	PKP2;DSG2
diphosphoinositol-polyphosphate diphosphatase activity (GO:0008486)	2/5	0.01878669674433127	0.8646480560128836	0	0	14.04635761589404	55.82874118577744	NUDT11;NUDT10
endopolyphosphatase activity (GO:0000298)	2/5	0.01878669674433127	0.8646480560128836	0	0	14.04635761589404	55.82874118577744	NUDT11;NUDT10
phosphatidylcholine floppase activity (GO:0090554)	2/5	0.01878669674433127	0.8646480560128836	0	0	14.04635761589404	55.82874118577744	ABCB1;ABCG1
phosphoric ester hydrolase activity (GO:0042578)	6/53	0.03223839741282297	0.8646480560128836	0	0	2.695428598386564	9.257711168078972	PHOSPHO2;ACP6;EPHX2;MPPED2;DUSP18;HDHD2
GTPase activator activity (GO:0005096)	23/336	0.03349829869708679	0.8646480560128836	0	0	1.5592390029060847	5.295582033032588	TBC1D3B;ARHGEF17;TBC1D3E;TBC1D3F;TBC1D3C;TBC1D3I;TBC1D3G;TBC1D3H;PREX2;BCR;SYDE2;ARHGAP22;FGD5;TBC1D3K;TBC1D3L;TBC1D3;ALS2;ALDH1A1;GNB5;SERGEF;DOCK1;ARHGEF5;RAPGEF3
sodium ion transmembrane transporter activity (GO:0015081)	4/28	0.03630897255734971	0.8646480560128836	0	0	3.515486725663717	11.656265553743586	SLC8A3;SLC4A8;SLC9A7;SLC9B2
rRNA methyltransferase activity (GO:0008649)	2/7	0.03713643458377356	0.8646480560128836	0	0	8.426931567328918	27.751206379134487	FBL;TRMT61B
phosphatidylcholine transporter activity (GO:0008525)	3/18	0.04574497591505899	0.8646480560128836	0	0	4.215911602209944	13.004709993937581	ABCB1;ATP8B2;ABCG1
ATPase binding (GO:0051117)	7/73	0.04744069893569979	0.8646480560128836	0	0	2.239632731308647	6.827015996742252	FBL;GABARAPL2;RALA;TRPC1;TAF9;ATP6V0A2;PKD2
ubiquitin ligase inhibitor activity (GO:1990948)	2/8	0.04804895777351683	0.8646480560128836	0	0	7.022075055187638	21.31575343880034	RPS7;RPL23
CD4 receptor binding (GO:0042609)	2/8	0.04804895777351683	0.8646480560128836	0	0	7.022075055187638	21.31575343880034	PLSCR4;HLA-DRB1
transcription coactivator binding (GO:0001223)	3/20	0.0598020163822685	0.8646480560128836	0	0	3.7195320116997075	10.476864957270013	SMAD4;THRB;RPL23
