Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Short foot (HP:0001773)	9/63	0.0020587121150864845	0.7286279253912369	0	0	3.5294771968854284	21.832197725267918	SETBP1;NOG;BBS9;NDN;FBXL4;TRIM32;ZDHHC15;MIPOL1;FBN1
Tubular atrophy (HP:0000092)	4/13	0.0021712168123318473	0.7286279253912369	0	0	9.382005899705014	57.53484650471578	MUC1;TMEM67;NPHP3;REN
Myotonia (HP:0002486)	4/13	0.0021712168123318473	0.7286279253912369	0	0	9.382005899705014	57.53484650471578	UCHL1;HSPG2;PTRF;PFKM
2-3 toe syndactyly (HP:0004691)	5/22	0.002633796433949626	0.7286279253912369	0	0	6.212950296397628	36.90075563887122	SMAD4;MYCN;NOG;BMPR1B;SHANK3
Aortic valve stenosis (HP:0001650)	5/23	0.0032412274261176014	0.7286279253912369	0	0	5.867478774455519	33.63123353142993	SMAD4;SLC2A10;ELN;NPHP3;FBN1
Palpitations (HP:0001962)	4/16	0.004957332186317436	0.7934318831359408	0	0	7.035398230088496	37.33606726676055	SCN9A;PKP2;SDHC;DSG2
Flat face (HP:0012368)	5/27	0.00669377062292136	0.7934318831359408	0	0	4.799657706634451	24.02986040727087	EBP;DNMT3B;ATP6V0A2;FAT4;HSPG2
Wormian bones (HP:0002645)	5/29	0.00913830889363454	0.7934318831359408	0	0	4.39922480620155	20.655591954251626	FAM134B;SETBP1;SCN9A;PLOD2;HSPG2
Hyperpituitarism (HP:0010514)	5/31	0.012136715679445357	0.7934318831359408	0	0	4.060396967373712	17.91252270182218	CDKN1B;THRB;HFM1;STAG3;SLC16A2
Neoplasm of the small intestine (HP:0100833)	4/21	0.013617082054497586	0.7934318831359408	0	0	4.964862051015096	21.331183458231916	SMAD4;PMS2;SDHC;SDHA
Full cheeks (HP:0000293)	7/57	0.014238296379828604	0.7934318831359408	0	0	2.958801331853496	12.580290727335393	ELN;TCTN2;TMEM67;TCF4;HSPG2;SHANK3;FBN1
Scapular winging (HP:0003691)	4/23	0.018756052590504887	0.7934318831359408	0	0	4.441779226828133	17.661574786502477	BIN1;TPM2;FHL1;ATP6V0A2
Broad ribs (HP:0000885)	3/13	0.01895842654364398	0.7934318831359408	0	0	6.325524861878453	25.08391168764085	SMAD4;SETBP1;FBN1
Pulmonary artery stenosis (HP:0004415)	3/13	0.01895842654364398	0.7934318831359408	0	0	6.325524861878453	25.08391168764085	SLC2A10;ELN;LTBP4
Tubulointerstitial fibrosis (HP:0005576)	3/13	0.01895842654364398	0.7934318831359408	0	0	6.325524861878453	25.08391168764085	MUC1;NPHP3;REN
Blepharophimosis (HP:0000581)	10/104	0.019758041055251065	0.7934318831359408	0	0	2.2506278728142917	8.831902034215801	BCR;SMAD4;MYCN;FANCL;SLC2A10;ELN;FAT4;HSPG2;FANCF;FBN1
Pes planus (HP:0001763)	10/105	0.020982542819844473	0.7934318831359408	0	0	2.2268198335482356	8.604575424998067	BCR;METTL23;FANCL;ELN;ATP6V0A2;TCF4;SLC16A2;HSPG2;FANCF;FBN1
Abnormality of the shoulder girdle musculature (HP:0001435)	5/36	0.022375305910798417	0.7934318831359408	0	0	3.4046011502875717	12.936794404577647	BIN1;TPM2;FHL1;ATP6V0A2;TRIM32
Abnormality of the middle phalanx of the 5th finger (HP:0004219)	3/14	0.023329463038282185	0.7934318831359408	0	0	5.750175791059769	21.609380332113016	MYCN;NOG;BMPR1B
Xerostomia (HP:0000217)	3/14	0.023329463038282185	0.7934318831359408	0	0	5.750175791059769	21.609380332113016	CHRM3;SCN9A;HLA-DRB1
Abnormality of pain sensation (HP:0010832)	4/25	0.024951166659857454	0.7934318831359408	0	0	4.018331226295828	14.830996317923642	SCN9A;NDN;SHANK3;FBN1
Impaired pain sensation (HP:0007328)	4/25	0.024951166659857454	0.7934318831359408	0	0	4.018331226295828	14.830996317923642	SCN9A;NDN;SHANK3;FBN1
Narrow mouth (HP:0000160)	9/93	0.02528127509433773	0.7934318831359408	0	0	2.2653742253297313	8.331347016574371	BCR;SMAD4;PLCB4;TPM2;AKT3;ATP6V0A2;FAT4;HSPG2;FBN1
Narrow forehead (HP:0000341)	7/65	0.02753430970740795	0.7934318831359408	0	0	2.549619197060737	9.159054219932324	SETBP1;TCTN2;TMEM67;NDN;TCF4;FAT4;SLC16A2
