Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
specific granule (GO:0042581)	38/160	1.0567144142886657E-16	2.8425617744365104E-14	0	0	6.42753454779484	236.44455211671644	ITGAM;CLEC12A;STXBP2;ITGB2;SLC2A3;PTPRJ;GPR84;FPR2;CFP;PLD1;ITGAL;FCAR;RAB44;TRPM2;CLEC5A;C3AR1;TOM1;TIMP2;QSOX1;CD36;CTSD;ELANE;CD33;TMEM30A;CD93;PLAUR;CYBB;ADAM10;MCEMP1;CYBA;ATP11A;LYZ;TNFRSF1B;CKAP4;OSCAR;SLCO4C1;PTX3;VCL
tertiary granule (GO:0070820)	38/164	2.553046042478704E-16	3.433846927133857E-14	0	0	6.222170293053608	223.40126460332317	SERPINB10;CDA;ITGAM;CLEC12A;STXBP2;ITGB2;FPR1;HBB;SLC2A3;GPR84;FPR2;CFP;PLD1;FCAR;CST3;LGALS3;TRPM2;CLEC5A;TIMP2;ITGAX;SIRPA;CTSH;QSOX1;RAC1;CTSD;CD33;FCER1G;CD93;SLC11A1;CYBB;ADAM10;MCEMP1;CYBA;ATP11A;LILRB2;LYZ;OSCAR;PTX3
specific granule membrane (GO:0035579)	28/91	8.734063579678826E-16	7.816324114888922E-14	0	0	9.100803068440609	315.56243555521314	ITGAM;CLEC12A;ITGB2;PTPRJ;SLC2A3;FPR2;GPR84;ITGAL;PLD1;FCAR;RAB44;TRPM2;CLEC5A;C3AR1;TOM1;CD36;CD33;TMEM30A;CD93;PLAUR;ADAM10;CYBB;MCEMP1;CYBA;ATP11A;TNFRSF1B;CKAP4;SLCO4C1
azurophil granule (GO:0042582)	36/154	1.1622786787938919E-15	7.816324114888922E-14	0	0	6.2832850740488	216.07208235359502	GRN;B4GALT1;STXBP2;FAF2;FPR1;MPO;GNS;RAB44;NCSTN;PSAP;C3AR1;TOM1;CTSG;ELANE;ARSB;CTSC;CAP1;TMEM30A;NFAM1;PRKCD;RNASE3;AZU1;RNASE2;LYZ;CKAP4;DNAJC3;VNN1;GLB1;SLCO4C1;PADI2;PRTN3;MAN2B1;MNDA;ACPP;CD68;FTL
ficolin-1-rich granule (GO:0101002)	39/184	2.518012550136906E-15	1.3546907519736552E-13	0	0	5.549616021683481	186.55204338819414	CFD;SERPINB10;CDA;GPI;SERPINA1;ITGB2;FGL2;FPR1;HBB;SLC2A3;FPR2;GNS;FCAR;CST3;LGALS3;TRPM2;HK3;PNP;ALOX5;COTL1;TIMP2;ITGAX;SIRPA;CTSH;RAC1;ATG7;CTSD;ARSB;CTSB;XRCC6;FCER1G;CD93;SLC11A1;PGAM1;LILRB2;CRISPLD2;GLB1;MNDA;VCL
secretory granule lumen (GO:0034774)	52/317	4.968454080494327E-15	2.2275235794216234E-13	0	0	4.080987901962013	134.41006123652883	CDA;GPI;SERPINA1;FAF2;F13A1;MPO;HK3;PNP;TIMP2;COTL1;CTSH;QSOX1;CTSG;TIMP1;CTSD;CTSC;CAP1;SRGN;ACTN1;PGAM1;PRKCD;RNASE3;RNASE2;OSCAR;DNAJC3;FGR;CRISPLD2;PADI2;PRTN3;S100A9;S100A8;VCL;FTL;CFD;GRN;CFP;GNS;THBS1;ALOX5;ATG7;S100A11;ELANE;ARSB;XRCC6;TGFB1;AZU1;LYZ;VEGFA;GLB1;MAN2B1;MNDA;PTX3
tertiary granule membrane (GO:0070821)	22/73	1.715319416532052E-12	6.591727472101743E-11	0	0	8.781875880041191	237.91350369609583	ITGAM;FCER1G;CD93;CLEC12A;SLC11A1;ITGB2;ADAM10;CYBB;SLC2A3;MCEMP1;CYBA;ATP11A;FPR2;GPR84;LILRB2;PLD1;FCAR;TRPM2;CLEC5A;ITGAX;SIRPA;CD33
vacuolar lumen (GO:0005775)	30/161	1.2573815425179603E-10	4.227945436716641E-9	0	0	4.682649061275016	106.7495054887039	GRN;FAF2;IFI30;MPO;GNS;SGSH;CTSL;PSAP;CTSG;CTSD;ELANE;ARSB;CTSC;CAP1;PRKCD;RNASE3;AZU1;RNASE2;LYZ;DNAJC3;VCAN;TCN2;GLB1;NAAA;PADI2;PRTN3;TPP1;MAN2B1;MNDA;FTL
azurophil granule lumen (GO:0035578)	21/90	1.0759696448612518E-9	3.215953716307519E-8	0	0	6.183409365980821	127.68767292191451	CAP1;GRN;FAF2;PRKCD;RNASE3;AZU1;RNASE2;LYZ;MPO;GNS;DNAJC3;GLB1;PADI2;CTSG;PRTN3;MAN2B1;MNDA;CTSC;ELANE;ARSB;FTL
ficolin-1-rich granule lumen (GO:1904813)	24/123	3.404374830613411E-9	9.157768294350076E-8	0	0	4.933372392019009	96.1919038608026	CFD;CDA;GPI;XRCC6;SERPINA1;PGAM1;FGL2;HBB;GNS;CST3;HK3;PNP;CRISPLD2;GLB1;ALOX5;COTL1;TIMP2;CTSH;MNDA;ATG7;CTSD;VCL;ARSB;CTSB
azurophil granule membrane (GO:0035577)	15/58	5.927037580003206E-8	1.4494300991098749E-6	0	0	7.051707075705097	117.34855906935664	B4GALT1;TMEM30A;NFAM1;FPR1;AZU1;CKAP4;RAB44;NCSTN;VNN1;PSAP;SLCO4C1;C3AR1;TOM1;ACPP;CD68
ficolin-1-rich granule membrane (GO:0101003)	15/61	1.2285895676969458E-7	2.7540882809206535E-6	0	0	6.59077243293247	104.87387913548184	SERPINB10;FCER1G;CD93;SLC11A1;ITGB2;FPR1;SLC2A3;FPR2;LILRB2;FCAR;LGALS3;TRPM2;ITGAX;SIRPA;RAC1
spindle midzone (GO:0051233)	10/30	7.372872708588892E-7	1.525617506623394E-5	0	0	10.066137566137566	142.1367638634729	CDC42;CENPE;RACGAP1;PLK1;KIF14;BUB1B;CDCA8;UNC119;KIF20B;AURKA
lysosome (GO:0005764)	44/422	1.0404568709945508E-6	1.9991635592681014E-5	0	0	2.3851573072209735	32.857570822526675	GRN;LRP1;UNC93B1;LRRK2;STXBP2;PRF1;CXCR4;ADRB2;IFI30;PLD1;GNS;MPO;SGSH;TRPM2;NCSTN;STS;CTSL;PSAP;CTSH;SLC15A3;CTSD;ARSB;CTSC;CTSB;SLC36A1;SRGN;SEC13;SLC11A1;MYO5A;ATP11A;MARCH1;HCK;VCAN;P2RX4;TCN2;HGS;GLB1;KCNQ1;NAAA;ATP6V1B2;TPP1;TLR7;MAN2B1;ACPP
lytic vacuole (GO:0000323)	25/183	2.1587930505958343E-6	3.8714355374018626E-5	0	0	3.213386416224309	41.92171471654285	GRN;UNC93B1;LRRK2;CXCR4;ADRB2;IFI30;MPO;SGSH;TRPM2;STS;CTSL;PSAP;CTSH;CTSD;ARSB;CTSC;CTSB;SLC11A1;MYO5A;MARCH1;HCK;HGS;KCNQ1;TPP1;TLR7
integral component of plasma membrane (GO:0005887)	106/1463	9.566378464926429E-6	1.6083473794157557E-4	0	0	1.627410287190357	18.8083970618801	CD84;GPR65;SLC4A1;IL1RAP;SLC8A1;ICAM1;AQP1;MILR1;BSG;CCRL2;CLEC5A;C3AR1;SLC16A6;MFSD2A;IL13RA1;CD96;ENTPD1;SLC6A19;SLC11A1;CD180;CYBB;CLEC4A;TYROBP;ADCY9;CD300C;KIF20B;CSF1R;IGSF6;C5AR2;C5AR1;FPR1;LPAR1;SLC1A3;FPR2;GPR84;CD1D;ADRB2;CSF2RA;RASGRP3;HCAR3;TRPM2;NCSTN;KLRK1;ST3GAL5;PAG1;CCR1;CD163;JAG1;TNFRSF10B;IGF2R;GPR183;PLXNB2;KCNK6;SIGLEC9;FLT3;PTPRO;PTPRJ;CD3G;SLC2A3;CD3E;SIRPB1;FCAR;MRC1;STAB1;MUC12;CTLA4;CD36;CCR5;CD33;CCR2;FCER1G;IFNGR1;PTH2R;TNFRSF1B;IL17RA;SLC22A23;TGFBR3;SLC7A5;FCER2;SLC7A7;TLR8;TLR4;HBEGF;TLR2;CX3CR1;LRP1;SGMS2;LILRA2;P2RY2;LRRC8C;S1PR3;P2RY13;SLC31A2;SLC31A1;TRAT1;LILRB2;CD2;CD4;P2RX4;SLCO3A1;CD6;CD5;SLCO4C1;ZYX;FAS;FCGR2B
cytoplasmic vesicle lumen (GO:0060205)	19/129	1.1825763728680511E-5	1.8712532017735634E-4	0	0	3.4942210567210568	39.64274169819306	CFD;CDA;GPI;XRCC6;PGAM1;HBB;HBA1;FGR;HK3;PNP;CRISPLD2;ALOX5;COTL1;CTSH;S100A9;ATG7;S100A8;VCL;S100A11
endocytic vesicle (GO:0030139)	17/108	1.3837470304516587E-5	2.0679330621749788E-4	0	0	3.7749010051781906	42.234084715473564	SH3KBP1;LPAR1;DYSF;HBB;AP2A1;ARRB2;HBA1;PLD1;CORO1A;IGF2R;MTSS1;RAB31;RAB20;CTLA4;CD36;SRGAP2;RAB8A
kinesin complex (GO:0005871)	11/50	1.8699783477531436E-5	2.55467435585778E-4	0	0	5.678672316384181	61.82369763165863	CENPE;KIF4B;KIF4A;KIF26B;KIF14;KIF1C;KIF23;KIF11;KIF20A;KIF20B;KIF15
condensed chromosome, centromeric region (GO:0000779)	8/26	1.899386138184223E-5	2.55467435585778E-4	0	0	8.9297195823067	97.07850628394462	SGO1;CENPE;HJURP;BUB1B;NCAPD2;KNL1;AURKA;SPC25
spindle (GO:0005819)	23/186	2.834345391317634E-5	3.6306614774497315E-4	0	0	2.858724558308539	29.934032051045662	SPAG5;PLK1;KIF14;BUB1B;CDCA8;NEDD9;KIF23;TTK;KIF11;AURKA;SGO1;CDC42;TPX2;CENPF;RACGAP1;ESPL1;PRC1;KIF4A;UNC119;KIF20A;KIF20B;ECT2;CALM1
phagocytic vesicle (GO:0045335)	14/83	3.5515414099377294E-5	4.3425665421511323E-4	0	0	4.091607756164426	41.92074629709952	NCF1;NCF2;UNC93B1;SLC11A1;NCF4;CYBB;CYBA;CORO1A;RAB31;RAB20;TLR7;CD36;SRGAP2;RAB8A
tertiary granule lumen (GO:1904724)	11/55	4.814968606337857E-5	5.631419804803841E-4	0	0	5.032044491525424	50.02454026760652	CST3;CDA;TIMP2;HBB;CTSH;QSOX1;PTX3;CFP;LYZ;CTSD;OSCAR
lysosomal lumen (GO:0043202)	14/86	5.336082822415864E-5	5.980859496791114E-4	0	0	3.9205041917581767	38.571620306489784	IFI30;GNS;SGSH;VCAN;TCN2;CTSL;GLB1;NAAA;PSAP;MAN2B1;TPP1;CTSD;ARSB;CTSB
T cell receptor complex (GO:0042101)	6/16	6.18251906643943E-5	6.652390515488828E-4	0	0	12.03477344573235	116.63139233297677	CD4;CD6;TRAT1;CD3G;CD3E;CD3D
chromosome, centromeric region (GO:0000775)	10/49	8.833072357331028E-5	8.877867822818971E-4	0	0	5.156966490299824	48.1373043767661	SGO1;CENPE;CENPF;CENPW;NUF2;HJURP;SNAI1;CDCA8;NCAPD2;SMC1A
condensed chromosome (GO:0000793)	9/40	8.910871048926104E-5	8.877867822818971E-4	0	0	5.8352997340244155	54.41798319817725	SGO1;CENPE;FANCD2;SUV39H1;HMGB2;NCAPG;NCAPD2;MKI67;SMC1A
mitotic spindle (GO:0072686)	13/84	1.6603860519331858E-4	0.0015951565998929536	0	0	3.688017702819892	32.097888460346134	SPAG5;KIF23;KIF11;SMC1A;AURKA;CDC42;ASPM;CENPE;TPX2;ESPL1;RACGAP1;KIF20B;ECT2
secondary lysosome (GO:0005767)	5/13	2.2925196134126297E-4	0.0021265095724413703	0	0	12.524342105263157	104.96261475361364	NCF1;NCF2;LRRK2;NCF4;FTL
