Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
kinase binding (GO:0019900)	52/418	2.6217889481716564E-10	1.8457394195128462E-7	0	0	2.938922474568681	64.83849011950457	RB1;BTG1;ITGB2;KIF14;PTPRJ;AP2A1;KIF11;FOXM1;CD3E;ACTB;CKS1B;CASP1;RAC1;PDE8A;WARS;PGAM1;PRKCD;ADAM10;TUBA4A;DNAJC3;SGO1;CCNA2;FGR;KAT2B;SMCR8;RHOU;KIF20A;CARD16;IQGAP1;NOD2;ADIPOR1;HIF1A;AURKA;CDC42;SOCS1;RACGAP1;FLNA;STAP1;TBC1D14;MAP2K7;CDKN2C;CDKN2A;PLK1;IL31RA;USF1;TPX2;CD4;PRC1;SNAI1;FAS;CALM1;PTPN2
protein kinase binding (GO:0019901)	50/495	5.037236014478264E-7	1.773107077096349E-4	0	0	2.3092681109938544	33.487246781533756	TOP2A;FLT3;ITGB2;PDE3B;PLEK;KIF14;PTPRJ;AP2A1;KIF11;FOXM1;CD3E;ACTB;CKS1B;RAC1;WARS;PGAM1;PRKCD;ADAM10;TUBA4A;DNAJC3;CCNA2;FGR;KAT2B;KCNQ1;SMCR8;RHOU;KIF20A;TRIB1;CSF1R;IQGAP1;NOD2;ADIPOR1;HIF1A;AURKA;CDC42;SOCS1;RACGAP1;STAP1;TBC1D14;MAP2K7;CDKN2C;CDKN2A;PLK1;IL31RA;USF1;TPX2;CD4;PRC1;CALM1;PTPN2
chemokine receptor binding (GO:0042379)	11/49	1.5237688857466173E-5	0.0031390440314456062	0	0	5.828417707404103	64.64728606417209	CXCL8;CXCL12;CCL3L1;CCL4L1;CCL5;CCRL2;CCL4;CCL3;CXCL3;CXCL2;CXCL16
GTPase activator activity (GO:0005096)	28/249	2.4079184276117275E-5	0.0031390440314456062	0	0	2.5727520781775493	27.359064478558118	RGS18;ARHGAP11B;DOCK4;LRRK2;ARHGAP19;ARHGAP18;ASAP1;IQGAP1;RASGRP3;PREX1;SRGAP2C;RGS2;ADAP2;RACGAP1;TBC1D14;SRGAP2;ECT2;SRGAP2B;APLP2;TBC1D8;TBC1D9;MYO9B;GMIP;ARHGAP26;ADAP1;ARHGAP24;TBC1D1;SMAP2
Toll-like receptor binding (GO:0035325)	5/9	2.6352365180606225E-5	0.0031390440314456062	0	0	25.053947368421053	264.1676316623364	UNC93B1;CD36;S100A9;S100A8;TLR2
immunoglobulin receptor binding (GO:0034987)	14/81	2.6753216177093234E-5	0.0031390440314456062	0	0	4.214189414246515	44.37059291325876	IGHM;IGHV4-31;IGHV3-30;IGHV3-23;IGHV3-48;JCHAIN;FGR;IGHG1;IGHG2;IGKC;IGHD;FLNA;IGHA1;IGHA2
chemokine activity (GO:0008009)	10/46	4.989329058534649E-5	0.004836103803081511	0	0	5.587595532039977	55.34862052434684	CXCL8;CXCL12;CCL3L1;CCL4L1;CCL5;CCL4;CCL3;CXCL3;CXCL2;CXCL16
GTPase regulator activity (GO:0030695)	29/275	5.6987021176718075E-5	0.004836103803081511	0	0	2.3932421991606527	23.38840696279587	CDC42SE1;RGS18;ARHGAP11B;DOCK4;LRRK2;ARHGAP19;ARHGAP18;ASAP1;IQGAP1;RASGRP3;PREX1;SRGAP2C;RGS2;ADAP2;RACGAP1;TBC1D14;SRGAP2;ECT2;SRGAP2B;APLP2;TBC1D8;TBC1D9;MYO9B;GMIP;ARHGAP26;ADAP1;ARHGAP24;TBC1D1;SMAP2
peptidoglycan binding (GO:0042834)	6/16	6.18251906643943E-5	0.004836103803081511	0	0	12.03477344573235	116.63139233297677	IGHM;NLRP3;NOD2;HK1;JCHAIN;TLR2
aryl sulfotransferase activity (GO:0004062)	5/11	8.916452044905595E-5	0.005230985199677949	0	0	16.700877192982457	155.73613659883375	SULT1A1;SULT1B1;SULT1A4;SULT1A3;SULT1A2
