Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cholesterol metabolism (includes both Bloch and Kandutsch-Russell pathways) WP4718	11/46	4.921499588969747E-6	0.0017963473499739576	0	0	6.677082337951903	81.6066144605069	EBP;HMGCS1;SCD;CYP51A1;NR1H3;MSMO1;HMGCR;HSD17B7;FADS1;ABCG1;FDFT1
Cholesterol Biosynthesis Pathway WP197	5/15	3.912798958603364E-4	0.07140858099451139	0	0	10.565891472868216	82.90090803834514	HMGCS1;CYP51A1;MSMO1;HMGCR;FDFT1
SREBF and miR33 in cholesterol and lipid homeostasis WP2011	4/16	0.004957332186317436	0.6031420826686215	0	0	7.035398230088496	37.33606726676055	HMGCS1;SCD;NR1H3;HMGCR
Bone morphogenic protein (BMP) signaling and regulation WP1425	3/12	0.015084447806527396	0.9984653905752534	0	0	7.028729281767956	29.479130310016917	SMAD4;NOG;BMPR1B
Cell-type Dependent Selectivity of CCK2R Signaling WP3679	3/13	0.01895842654364398	0.9984653905752534	0	0	6.325524861878453	25.08391168764085	TRPC1;RYR3;GNAI1
Sterol regulatory element-binding proteins (SREBP) signaling WP1982	7/69	0.036600301944871204	0.9984653905752534	0	0	2.3846264007733344	7.887625857456792	HMGCS1;SCD;INSIG1;CYP51A1;HMGCR;LPIN1;FDFT1
Cholesterol Biosynthesis with Skeletal Dysplasias WP4804	2/7	0.03713643458377356	0.9984653905752534	0	0	8.426931567328918	27.751206379134487	EBP;CYP51A1
Hfe effect on hepcidin production WP3924	2/7	0.03713643458377356	0.9984653905752534	0	0	8.426931567328918	27.751206379134487	ID1;BMP6
Mevalonate pathway WP3963	2/7	0.03713643458377356	0.9984653905752534	0	0	8.426931567328918	27.751206379134487	HMGCS1;HMGCR
Genes related to primary cilium development (based on CRISPR) WP4536	9/103	0.044512673879476314	0.9984653905752534	0	0	2.0233119541807683	6.296509014196711	IFT88;IFT81;IFT172;TCTN2;TMEM67;CBY1;BBS9;DYNLL1;TXNDC15
Mitochondrial CII Assembly WP4920	2/8	0.04804895777351683	0.9984653905752534	0	0	7.022075055187638	21.31575343880034	SDHC;SDHA
White fat cell differentiation WP4149	4/32	0.05538769541573418	0.9984653905752534	0	0	3.0126422250316054	8.716772429195021	MECOM;NR1H3;GATA3;GATA2
Imatinib and Chronic Myeloid Leukemia WP3640	3/20	0.0598020163822685	0.9984653905752534	0	0	3.7195320116997075	10.476864957270013	BCR;ABCB1;CDKN1B
Development of ureteric collection system WP5053	5/47	0.0608609883375539	0.9984653905752534	0	0	2.511469704160734	7.030012808102587	MYCN;SMO;GATA3;FAT4;FREM1
Globo Sphingolipid Metabolism WP1424	3/21	0.06749951371198952	0.9984653905752534	0	0	3.512707182320442	9.468976022845567	ST6GAL2;ABO;ST6GALNAC5
Nicotine Activity on Dopaminergic Neurons WP1602	3/21	0.06749951371198952	0.9984653905752534	0	0	3.512707182320442	9.468976022845567	CHRNA5;GNAI1;SLC18A2
Liver X receptor pathway WP2874	2/10	0.07274275372169797	0.9984653905752534	0	0	5.266004415011038	13.801281197935431	SCD;NR1H3
Mevalonate arm of cholesterol biosynthesis pathway WP4190	2/11	0.08630715111831913	0.9984653905752534	0	0	4.680647534952171	11.466850760412164	HMGCS1;HMGCR
Hematopoietic Stem Cell Differentiation WP2849	5/55	0.10343006545487843	0.9984653905752534	0	0	2.10874861572536	4.784454521269968	MUC1;THRB;RHOH;GATA2;ABO
Transcriptional cascade regulating adipogenesis WP4211	2/13	0.11538685882895956	0.9984653905752534	0	0	3.829219345775637	8.269064413027971	GATA3;GATA2
MFAP5-mediated ovarian cancer cell motility and invasiveness WP3301	2/13	0.11538685882895956	0.9984653905752534	0	0	3.829219345775637	8.269064413027971	PRKCQ;RYR3
7-oxo-C and 7beta-HC pathways WP5064	3/27	0.1219686781970972	0.9984653905752534	0	0	2.6337016574585634	5.541284592670695	EBP;ACOT7;EPHX2
Kennedy pathway from sphingolipids WP3933	2/14	0.13072976856922172	0.9984653905752534	0	0	3.5099337748344372	7.1413917119475085	PCYT1B;ETNK2
Omega-9 FA synthesis WP4724	2/14	0.13072976856922172	0.9984653905752534	0	0	3.5099337748344372	7.1413917119475085	SCD;FADS1
Mesodermal commitment pathway WP2857	10/147	0.13224398285438688	0.9984653905752534	0	0	1.5407312275453968	3.117063680970073	ZNF462;SMAD4;MEIS1;ATP8B2;NOG;DNMT3B;HMGA2;TCF4;GATA3;PBX1
Oxysterols derived from cholesterol WP4545	4/46	0.15489526545039176	0.9984653905752534	0	0	2.006953223767383	3.7429799991760895	EBP;ACOT7;INSIG1;EPHX2
ESC Pluripotency Pathways WP3931	8/116	0.15734650402316966	0.9984653905752534	0	0	1.5624691358024692	2.889481787621392	FGF16;FZD3;SMAD4;AKT3;FZD6;NOG;BMPR1B;LRP6
ID signaling pathway WP53	2/16	0.16263853612026213	0.9984653905752534	0	0	3.008199306212551	5.463567117147712	ID1;ID3
Osteoblast differentiation WP4787	8/118	0.16806348326812234	0.9984653905752534	0	0	1.5338989898989899	2.73557615757148	FZD3;SMAD4;SMO;FZD6;PRKCQ;BMPR1B;PRKCZ;LRP6
Ovarian infertility WP34	3/32	0.17604945726523666	0.9984653905752534	0	0	2.1790436273575917	3.7849776793634087	CDKN1B;NRIP1;BMPR1B
Regulation of Wnt/B-catenin Signaling by Small Molecule Compounds WP3664	2/17	0.17906858479997015	0.9984653905752534	0	0	2.8075055187637967	4.828871285547475	MBOAT1;TCF4
Type I collagen synthesis in the context of Osteogenesis imperfecta WP4786	3/33	0.18756876775023812	0.9984653905752534	0	0	2.1062983425414363	3.5251214203228027	PLOD2;TMEM38B;LRP6
Nuclear Receptors in Lipid Metabolism and Toxicity WP299	3/33	0.18756876775023812	0.9984653905752534	0	0	2.1062983425414363	3.5251214203228027	ABCB1;NR1H3;ABCG1
Pathways in clear cell renal cell carcinoma WP4018	6/85	0.18879725748644405	0.9984653905752534	0	0	1.6009149849841422	2.668855836829162	DEPTOR;SSPN;PLOD2;ALDOC;ENO2;PFKM
Endoderm differentiation WP2853	9/141	0.1917958893170403	0.9984653905752534	0	0	1.4379613712205481	2.3745394746973902	ZNF462;SMAD4;ATP8B2;TCEAL2;NOG;DNMT3B;RAB38;TCF4;PBX1
TCA Cycle (aka Krebs or citric acid cycle) WP78	2/18	0.19573404108341794	0.9984653905752534	0	0	2.631898454746137	4.292622364643218	SDHC;SDHA
TGF-B Signaling in Thyroid Cells for Epithelial-Mesenchymal Transition WP3859	2/18	0.19573404108341794	0.9984653905752534	0	0	2.631898454746137	4.292622364643218	SMAD4;ID1
Sulindac Metabolic Pathway WP2542	1/5	0.20732156040762345	0.9984653905752534	0	0	5.26130099228225	8.278574293865114	MSRB3
Vitamin B6-dependent and responsive disorders WP4228	1/5	0.20732156040762345	0.9984653905752534	0	0	5.26130099228225	8.278574293865114	AASS
Linoleic acid metabolism known to be affected by coronavirus infection WP4853	1/5	0.20732156040762345	0.9984653905752534	0	0	5.26130099228225	8.278574293865114	FADS1
miR-517 relationship with ARCN1 and USP1 WP3596	1/5	0.20732156040762345	0.9984653905752534	0	0	5.26130099228225	8.278574293865114	ID1
Ciliopathies WP4803	11/183	0.21073434068046276	0.9984653905752534	0	0	1.3489409141583055	2.100512770451505	SMO;IFT81;IFT172;TCTN2;TMEM67;ARMC4;NPHP3;BBS9;PKD2;TRIM32;ADCY6
Overview of nanoparticle effects WP3287	2/19	0.2125797454730114	0.9984653905752534	0	0	2.4769510453187897	3.8354053411802145	AKT3;PTGS1
Allograft Rejection WP2328	6/89	0.21729915153488247	0.9984653905752534	0	0	1.5234418828306575	2.3255040167095924	PECR;HLA-DRB5;ABCB1;PRKCZ;HLA-DRB1;HLA-DQB1
Wnt signaling in kidney disease WP4150	3/36	0.2231733927106072	0.9984653905752534	0	0	1.9145153189352084	2.871402067607709	FZD3;FZD6;LRP6
Hematopoietic Stem Cell Gene Regulation by GABP alpha/beta Complex WP3657	2/20	0.22955505169355017	0.9984653905752534	0	0	2.3392200147167035	3.442425183697611	SMAD4;DNMT3B
Amino Acid metabolism WP3925	6/91	0.23206770675332095	0.9984653905752534	0	0	1.487439676535803	2.1727419732183524	ARG2;HIBADH;ALDH1A1;SDHA;BCAT1;HIBCH
