Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
TYROBP Causal Network WP3945	20/61	3.0244730190258557E-12	1.1432508011917735E-9	0	0	9.914699360897352	262.9803040839707	CD84;RBM47;ITGAM;IGSF6;FKBP15;KCNE3;NCF2;IL10RA;ITGB2;PLEK;RNASE6;TNFRSF1B;SAMSN1;CXCL16;CD4;TYROBP;SLC7A7;ADAP2;ITGAX;IL13RA1
Human Complement System WP2806	24/97	1.842547933732986E-11	3.4824155947553435E-9	0	0	6.699645395288613	165.5970557730965	CFD;CD93;C5AR2;C5AR1;ITGB2;FPR1;PLAUR;F13A1;PRKCA;ADM;ARRB2;CFP;THBS1;ICAM1;C2;GNAI2;FCER2;FCGR3A;C3AR1;ITGAX;PTX3;VSIG4;ELANE;TLR2
Microglia Pathogen Phagocytosis Pathway WP3937	15/40	1.7967634771339994E-10	2.263921981188839E-8	0	0	12.140425531914893	272.4294972526719	C1QA;ITGAM;FCER1G;NCF1;NCF2;ITGB2;NCF4;CYBB;CYBA;TREM1;PIK3R6;HCK;TYROBP;RAC1;FCGR1A
Gastric Cancer Network 1 WP2361	11/29	4.3517591789702E-8	4.112412424126839E-6	0	0	12.317384651600753	208.7809086242615	TOP2A;TPX2;CCNA1;CENPF;UBE2C;MYBL2;ECT2;KIF20B;E2F7;AURKA;KIF15
Vitamin D Receptor Pathway WP2877	27/182	1.5932956108300913E-7	1.204531481787549E-5	0	0	3.5458147942157954	55.500125234465294	PTGER4;ITGAM;PRDM1;ADRB2;HIF1A;TREM1;SLC8A1;STS;CLMN;ALOX5;TIMP2;CTLA4;CD14;LRRC25;SLC37A2;TGFB1;CDKN2C;VDR;CDKN2A;MYO9B;BCL6;CCNE1;IRF4;IRF8;S100A9;S100A8;PPARD
Chemokine signaling pathway WP3929	25/164	2.680599121999349E-7	1.68877744685959E-5	0	0	3.656300765838942	55.327345486074016	CX3CR1;ITK;NCF1;CXCR4;ARRB2;CXCL3;CXCL16;PIK3R5;GNAI2;CDC42;PREX1;CCL5;CCL4;CCL3;PTK2B;RAC1;CCR2;CCR1;MAP2K1;PRKCD;FGR;HCK;ADCY9;CXCL12;PLCB2
Retinoblastoma Gene in Cancer WP2446	17/87	6.376464781778083E-7	3.443290982160165E-5	0	0	4.912808406944867	70.08357899779102	RB1;TOP2A;PLK4;PCNA;SUV39H1;HMGB2;TTK;SMC1A;CCNA2;POLD3;CCNB2;ANLN;CCNE2;ORC1;CCNE1;KIF4A;E2F2
T-Cell antigen Receptor (TCR)  Signaling Pathway WP69	17/90	1.052526872899476E-6	4.973189474450025E-5	0	0	4.710167362794637	64.83223547647634	ITK;MAP2K1;TGFB1;PRKCD;CD3G;GAB2;CD3E;CBL;CD3D;CDC42;CD4;IRF4;GRAP2;PTK2B;FAS;CCR5;ICOS
Cell Cycle WP179	19/120	4.018523260613456E-6	1.6877797694576514E-4	0	0	3.8073961242278074	47.305358925548425	RB1;TGFB1;PCNA;CDKN2C;GADD45B;CDKN2A;PLK1;TTK;SMC1A;CCNA2;CCNB2;CCNA1;CCNE2;ORC1;ESPL1;CCNE1;EP300;E2F2;E2F4
Selective expression of chemokine receptors during T-cell polarization WP4494	9/29	5.239140884851615E-6	1.9803952544739106E-4	0	0	9.049947145877379	110.04150221649294	CCR1;CD4;TGFB1;IFNGR1;CCL4;CCL3;CXCR4;CCR5;CCR2
