Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
neutrophil activation involved in immune response (GO:0002283)	105/483	1.3855541238961659E-40	4.8300416759020345E-37	0	0	6.100326797385621	559.8715443640218	CDA;MPO;RAB44;LGALS3;PNP;CLEC5A;C3AR1;TOM1;COTL1;SIRPA;CD93;SLC11A1;PRKCD;ADAM10;CYBB;MCEMP1;CYBA;RNASE3;ATP11A;RNASE2;OSCAR;RAB31;TYROBP;CRISPLD2;PADI2;PRTN3;S100A9;S100A8;VCL;FTL;CFD;STXBP2;C5AR1;FPR1;FPR2;IQGAP1;GPR84;CFP;PLD1;GNS;TRPM2;NCSTN;PSAP;CD14;ATG7;S100A11;ELANE;ARSB;XRCC6;AZU1;LYZ;IGF2R;VNN1;MAN2B1;GPI;SIGLEC9;SERPINA1;ITGAM;B4GALT1;ITGB2;FAF2;HBB;PTPRJ;SLC2A3;ITGAL;FCAR;SIRPB1;HK3;TIMP2;ITGAX;CTSH;QSOX1;CTSG;CD36;RAC1;CTSD;CD33;CTSC;CTSB;CAP1;FCER1G;NFAM1;PGAM1;PLAUR;TNFRSF1B;CKAP4;DNAJC3;FGR;ACPP;TLR2;SERPINB10;GRN;CLEC12A;FGL2;LILRA2;CST3;ALOX5;TMEM30A;LILRB2;FCGR2A;GLB1;SLCO4C1;MNDA;PTX3;CD68
neutrophil degranulation (GO:0043312)	104/479	3.80437774277404E-40	6.631030405655151E-37	0	0	6.084386995691344	552.2630833138182	CDA;MPO;RAB44;LGALS3;PNP;CLEC5A;C3AR1;TOM1;COTL1;SIRPA;CD93;SLC11A1;PRKCD;ADAM10;CYBB;MCEMP1;CYBA;RNASE3;ATP11A;RNASE2;OSCAR;RAB31;TYROBP;CRISPLD2;PADI2;PRTN3;S100A9;S100A8;VCL;FTL;CFD;STXBP2;C5AR1;FPR1;FPR2;IQGAP1;GPR84;CFP;PLD1;GNS;TRPM2;NCSTN;PSAP;CD14;ATG7;S100A11;ELANE;ARSB;XRCC6;AZU1;LYZ;IGF2R;VNN1;MAN2B1;GPI;SIGLEC9;SERPINA1;ITGAM;B4GALT1;ITGB2;FAF2;HBB;PTPRJ;SLC2A3;ITGAL;FCAR;SIRPB1;HK3;TIMP2;ITGAX;CTSH;QSOX1;CTSG;CD36;RAC1;CTSD;CD33;CTSC;CTSB;CAP1;FCER1G;NFAM1;PGAM1;PLAUR;TNFRSF1B;CKAP4;DNAJC3;FGR;ACPP;TLR2;SERPINB10;GRN;CLEC12A;FGL2;CST3;ALOX5;TMEM30A;LILRB2;FCGR2A;GLB1;SLCO4C1;MNDA;PTX3;CD68
neutrophil mediated immunity (GO:0002446)	104/487	1.8568896663449043E-39	2.157705792292779E-36	0	0	5.954745300414502	531.0555937607438	CDA;MPO;RAB44;LGALS3;PNP;CLEC5A;C3AR1;TOM1;COTL1;SIRPA;CD93;SLC11A1;PRKCD;ADAM10;CYBB;MCEMP1;CYBA;RNASE3;ATP11A;RNASE2;OSCAR;RAB31;TYROBP;CRISPLD2;PADI2;PRTN3;S100A9;S100A8;VCL;FTL;CFD;STXBP2;C5AR1;FPR1;FPR2;IQGAP1;GPR84;CFP;PLD1;GNS;TRPM2;NCSTN;PSAP;CD14;ATG7;S100A11;ELANE;ARSB;XRCC6;AZU1;LYZ;IGF2R;VNN1;MAN2B1;GPI;SIGLEC9;SERPINA1;ITGAM;B4GALT1;ITGB2;FAF2;HBB;PTPRJ;SLC2A3;ITGAL;FCAR;SIRPB1;HK3;TIMP2;ITGAX;CTSH;QSOX1;CTSG;CD36;RAC1;CTSD;CD33;CTSC;CTSB;CAP1;FCER1G;NFAM1;PGAM1;PLAUR;TNFRSF1B;CKAP4;DNAJC3;FGR;ACPP;TLR2;SERPINB10;GRN;CLEC12A;FGL2;CST3;ALOX5;TMEM30A;LILRB2;FCGR2A;GLB1;SLCO4C1;MNDA;PTX3;CD68
cytokine-mediated signaling pathway (GO:0019221)	82/633	1.3491919100844789E-16	9.632070966561537E-14	0	0	3.152672533330007	115.20450465556301	CD86;ARF1;IL1RN;ITGAM;CXCL8;FLT3;CCL4L1;ITGB2;F13A1;IRS2;IL1RAP;IFI30;CXCL3;CXCL2;TNFSF13B;ICAM1;OASL;IGHG1;CA1;ITGAX;CASP1;TRIM25;TIMP1;CD36;CCR5;IL13RA1;CCR2;SERPINB2;IFNGR1;PRKCD;GAB2;TNFRSF1B;IL17RA;FCER2;HCK;IRF4;PSME3;BOLA2;IRF8;RHOU;PRTN3;LCP1;CSF1R;CEBPD;CCL3L1;FPR1;NOD2;ADIPOR1;CBL;SAMHD1;HIF1A;CSF2RA;CDC42;BAG4;SOCS1;PSMB3;ALOX5;CCL5;CCL4;CCL3;IL21R;S1PR1;HMOX1;PTK2B;FCGR1A;FCGR1B;CCR1;TGFB1;VCAM1;IL10RA;IL31RA;LIF;TNFRSF10B;VEGFA;CD4;CXCL12;BCL6;TNFSF9;FAS;TAB3;TRIM38;IL7R
inflammatory response (GO:0006954)	48/252	1.3815362832130717E-16	9.632070966561537E-14	0	0	4.887735910240612	178.4911482024246	PTGER4;CSF1R;PXK;CXCL8;CCL3L1;CCL4L1;C5AR2;C5AR1;ITGB2;FPR1;CXCR4;FPR2;AOAH;NOD2;NLRC4;MEFV;CXCL3;ITGAL;CXCL2;THBS1;CCL5;CCRL2;CCL4;C3AR1;CCL3;PROK2;NLRP3;RAC1;TGFB1;SLC11A1;NFAM1;CD180;CYBB;TNFRSF10B;CYBA;AZU1;LYZ;TNFRSF1B;NLRP12;VNN1;CD6;TLR8;FAS;PTX3;FCGR2B;TLR4;S100A9;S100A8
regulation of immune response (GO:0050776)	40/251	1.840571892109499E-11	1.069372269315619E-8	0	0	3.9021055085074976	96.45364750245325	SIGLEC9;IGHV3-23;ITGB2;CD3G;IGHV3-48;CD1D;NOD2;CD3E;ITGAL;SAMHD1;CD3D;TREM1;ICAM1;FCGR3A;KLRK1;IGKC;CD300LB;NLRP3;SLAMF6;ITGB7;FCGR1A;CD33;CD96;IGHV3-30;VCAM1;SH2D1A;LILRB1;PILRA;LILRB2;OSCAR;FGR;NLRP12;TYROBP;BCL6;IRF4;CD300E;CD300C;FCGR2B;HCST;IGKV3-20
cellular response to cytokine stimulus (GO:0071345)	57/456	2.9373107549505575E-11	1.4627807559653776E-8	0	0	2.966274260260897	71.93494376436114	CD86;IL1RN;ITGAM;CXCL8;FLT3;CCL4L1;ITGB2;F13A1;IL1RAP;BRCA1;CXCL2;ICAM1;IGHG1;ITGAX;CASP1;TIMP1;CD36;CCR5;IL13RA1;CCR2;IFNGR1;GAB2;TNFRSF1B;FCER2;HCK;IRF4;IRF8;RHOU;PRTN3;CSF1R;CEBPD;CCL3L1;FPR1;CXCR4;CBL;HIF1A;CSF2RA;BAG4;SOCS1;ALOX5;CCL5;CCL4;CCL3;S1PR1;HMOX1;CCR1;PTPN18;TGFB1;VCAM1;IL10RA;IL31RA;LIF;VEGFA;NLRP12;CD4;BCL6;PTPN2
endocytosis (GO:0006897)	40/263	8.051530317261161E-11	3.508454335746551E-8	0	0	3.689774314489451	85.75985198715142	LRP1;DENND1A;LRRK2;IGHV3-23;HBB;AP2A1;LRP3;IGHV3-48;FPR2;SNX11;ADRB2;SNX30;CORO1A;JCHAIN;CXCL16;CDC42;SNX4;IGKC;MRC1;STAB1;TOM1;CD14;CD36;RAC1;IGHA1;FCGR1A;IGHA2;FCGR1B;ELANE;CD163;IGHV3-30;CD93;SLC11A1;HBA1;IGF2R;SNX18;RHOU;PRTN3;FCGR2B;IGKV3-20
cellular response to lipopolysaccharide (GO:0071222)	21/91	1.3366214507493654E-9	5.0985771755531E-7	0	0	6.094753747323341	124.53483903042121	CD86;CXCL8;TGFB1;VDR;GFI1;HMGB2;LILRB1;LILRB2;TNFRSF1B;HCK;CD6;CCL5;CASP1;CCL3;STAP1;NLRP3;CTSG;CARD16;CD14;CCR5;TLR4
receptor-mediated endocytosis (GO:0006898)	31/188	1.462586682602725E-9	5.0985771755531E-7	0	0	4.036231284638928	82.10929224447376	CXCL8;LRP1;IGHV3-23;ITGB2;HBB;ADM;AP2A1;LRP3;IGHV3-48;FPR2;ADRB2;ARRB2;CXCL16;JCHAIN;IGKC;MRC1;STAB1;CD36;IGHA1;FCGR1A;IGHA2;FCGR1B;CD163;IGHV3-30;FCER1G;LILRB1;HBA1;IGF2R;RAB31;FCGR2B;IGKV3-20
